gepid	szoftverid	verzio	datum
21	49	ver7.1.7.2606	2016.11.05
37	50	ver3.0.6	
33	67	ver12.2.5.195	
14	64	ver12.15.1748	
4	28	ver7.2.2	
53	51		2016.04.04
11	59	ver255	2016.11.04
8	64	ver41.0.2353.69	
24	48	ver1.32.3889.0961	2016.11.28
34	102	ver16.02	
47	12	ver15.020.20042	2016.11.08
31	30	ver2.0.6	2015.02.04
5	88	ver2.2.4	
29	97	ver2.8.18	2016.09.10
15	97	ver2.8.18	2016.08.19
56	60	ver0.91	2016.11.23
8	14	ver2.14.0	2013.05.16
41	97	ver2.8.18	2016.08.20
34	96		2015.01.17
59	22	ver4.5.6.5844	2015.09.12
17	21	ver23.0.0.207	
59	30	ver2.1.2	2016.03.22
22	28	ver7.2.2	
7	2	ver5.1	
59	36	ver1.2.8.12	2015.12.07
12	46	ver23.0.0.207	
9	63	ver50.1.0	
25	78	ver3.3.1	2016.11.24
36	44	ver1.0.0	
73	39	ver0.67	2016.04.23
12	74	ver4.0.10	2016.08.19
33	19	ver4.42	
40	74	ver4.0.12	2016.09.18
8	29	ver1.4.20	2016.04.25
11	103	ver12.5.0	2016.11.03
2	1	ver24.0.0.180	2016.12.14
41	83	ver3.9.141.259	
59	67	ver12.2.5.195	
60	60	ver0.91	2016.11.23
57	9	ver5.24	
52	74	ver4.0.12	2016.11.06
61	38	ver4	2015.07.14
76	96		2013.12.14
8	49	ver7.1.7.2606	2016.10.28
31	36	ver1.1.8.35	2014.04.22
55	34	ver8.0.1120.15	2016.11.07
15	34	ver8.0.1120.15	2016.11.05
34	39	ver0.67	2016.03.07
37	67	ver12.2.5.195	
67	7	ver2.2.2	2013.11.16
23	68	ver8.0.2.805	2016.08.24
54	25	ver12.0.6612.1000	2016.12.12
66	18	ver3.5.7	
67	29	ver1.4.20	2016.08.21
14	23	ver8.0.310.13	2015.02.15
70	39	ver0.67	2016.08.25
20	64	ver42.0.2393.85	
44	39	ver0.67	2016.04.11
11	39	ver0.67	2016.11.03
31	60	ver0.91	2015.02.05
19	87	ver55.0.2883.87	2016.12.13
1	88	ver2.2.2	
35	67	ver12.2.5.195	
8	94		
61	57	ver5.2.3.3	2016.11.05
39	48	ver1.32.4066.7445	2016.12.13
33	70	ver5.1.50428.0	2016.08.21
76	85	ver0.5.7	2013.12.14
40	89	ver3.21.0	
29	42	ver2.3.2	2016.09.10
26	68	ver7.1.5.425	2015.06.16
21	23	ver8.0.250.18	2014.11.06
1	82	ver15.4.3502.0922	2011.07.21
52	57	ver5.2.3.3	2016.11.06
32	39	ver0.67	2016.11.03
