gepid	szoftverid	verzio	datum
71	63	ver50.1.0	
32	60	ver0.91	2016.11.03
43	102	ver16.04.00.0	2016.11.07
31	21	ver23.0.0.207	
38	29	ver1.4.20	2016.11.24
28	86	ver2.5.8.0	2014.02.07
18	87	ver49.0.2623.112	2010.11.19
48	102	ver15.06	
30	46	ver23.0.0.205	
63	63	ver50.0	
55	49	ver7.1.7.2606	2016.11.07
43	39	ver0.67	2016.04.11
47	89	ver3.23.0.2	
4	97	ver2.8.18	2016.11.23
17	68	ver6.2.2.802	2014.09.09
3	38	ver4	2012.02.14
21	42	ver2.4.0	2016.11.05
75	46	ver23.0.0.185	
67	30	ver2.1.2	2016.08.21
4	19	ver4.42	
42	63	ver50.1.0	
60	19	ver4.42	
71	83	ver3.9.141.259	
3	46	ver24.0.0.186	
39	67	ver12.2.5.195	
73	74	ver4.0.10	2016.08.20
8	63	ver50.1.0	
29	34	ver8.0.1120.15	2016.12.06
52	67	ver12.2.5.195	
62	89	ver3.22.2.2	
63	81	ver2.39	2016.11.23
47	86	ver2.5.8.0	2014.02.07
22	68	ver8.0.2.805	2016.08.19
44	48	ver1.32.4066.7445	2016.12.08
46	63	ver50.0.2	
45	64	ver42.0.2393.85	
76	97	ver2.8.18	2016.08.22
45	67	ver12.2.5.195	
56	97	ver2.8.18	2016.11.23
52	34	ver8.0.1120.15	2016.11.06
12	48	ver1.32.3889.0961	2016.11.22
59	22	ver4.5.7.6452	2016.12.02
23	70	ver5.1.50901.0	2016.10.17
54	51		2016.03.25
54	81	ver2.38	2016.11.05
35	89	ver3.23.0.2	
26	56	ver2.0.0.372	
39	13	ver1.16	
41	1	ver23.0.0.257	2016.09.14
23	86	ver2.5.8.0	2014.09.16
11	60	ver0.91	2016.11.03
14	76	ver3.0	
13	63	ver50.0.2	
20	49	ver7.1.7.2606	2016.10.17
60	96		2016.11.23
23	67	ver12.2.5.195	
9	36	ver1.2.6.7	2015.08.10
4	68	ver8.1.1.1115	2016.11.23
52	90	ver5.0.286.0	2016.11.06
71	28	ver7.2.2	
76	68	ver7.3.4.311	2016.04.25
35	57	ver5.1.4.2	2016.06.24
61	19	ver4.42	
74	68	ver8.1.1.1115	2016.12.09
31	67	ver12.2.5.195	
21	29	ver1.4.20	2016.05.09
44	88	ver2.2.4	
61	22	ver4.5.7.6389	2016.11.05
62	30	ver2.1.2	2016.03.09
48	22	ver4.5.6.5844	2015.09.09
39	97	ver2.8.18	2016.08.24
18	34	ver7.0.800	2016.11.22
20	88	ver2.2.4	
43	81	ver2.39	2016.11.12
1	70	ver5.1.41212.0	2016.01.13
43	5	ver0.52.00.00	2012.06.24
25	75	ver5.9.2	2016.11.23
34	101	ver16.4.29	
66	14	ver2.14.0	2016.05.01
55	60	ver0.91	2015.02.21
35	83	ver3.9.141.259	
41	36	ver1.2.8.12	2016.04.23
34	28	ver7.2.2	
60	7	ver3.0.20.0	2016.11.24
54	21	ver23.0.0.207	
11	30	ver2.1.2	2016.11.03
66	85	ver0.7.0	2016.05.03
31	73		
36	62	ver7.30.105	2016.11.23
16	57	ver5.2.3.3	2016.11.30
75	88	ver2.1.2	
59	48	ver1.32.4066.7445	2016.12.13
56	24	ver24.0.0.186	
71	12	ver15.020.20042	2016.11.06
9	57	ver5.1.6.2	2016.11.08
25	34	ver8.0.1120.15	2016.11.24
61	34	ver8.0.1120.15	2016.11.05
76	103	ver12.1.0	2016.04.25
13	22	ver4.5.7.6452	2016.12.06
42	53	ver11.0.00	2014.11.10
76	14	ver2.14.0	2013.05.16
61	68	ver8.1.0.1013	2016.11.05
50	55	ver15.4.3508.1109	
30	87	ver49.0.2623.112	2010.11.22
58	97	ver2.8.18	2016.09.02
55	81	ver2.35	2016.01.17
68	34	ver8.0.1010.13	2016.09.05
45	14	ver2.14.0	2015.06.25
52	30	ver2.1.2	2016.04.03
8	65	ver4.9.9.2	
41	102	ver16.02	
22	83	ver3.9.141.259	
21	70	ver5.1.50901.0	2016.10.12
47	42	ver2.3.2	2016.08.19
76	87	ver54.0.2840.99	2016.11.11
7	88	ver2.2.4	
56	75	ver5.9.2	2016.11.23
29	74	ver4.0.10	2016.09.10
12	87	ver54.0.2840.99	2016.11.14
45	5	ver0.53.00.00	2015.06.25
71	87	ver55.0.2883.87	2016.12.13
40	57	ver5.0.4.2	2016.02.07
14	67	ver12.2.5.195	
52	81	ver2.38	2016.11.06
67	14	ver2.14.0	2013.11.15
66	67	ver12.2.5.195	
29	75	ver5.9.1	2016.09.10
22	30	ver2.1.2	2016.01.21
36	21	ver23.0.0.207	
23	39	ver0.67	2016.04.08
61	86	ver2.5.8.0	2015.06.25
54	17	ver1.27	
24	61	ver1617.1.0	
11	90	ver5.0.286.0	2016.11.04
16	1	ver24.0.0.180	2016.12.14
13	1	ver23.0.0.257	2016.09.21
12	70	ver5.1.50901.0	2016.10.12
38	34	ver8.0.1120.15	2016.11.24
21	28	ver7.2	
31	94		
54	55	ver16.4.3528.0331	2014.07.25
8	22	ver4.5.5.5642	2015.06.11
52	60	ver0.91	2015.06.25
39	75	ver5.9.3	2016.12.13
14	21	ver23.0.0.205	
19	40	ver6.0.0.1735	2011.08.09
29	68	ver8.0.2.805	2016.09.10
34	63	ver50.0.2	
60	12	ver15.020.20042	2016.11.24
64	88	ver2.2.4	
62	34	ver7.0.210	2013.05.16
11	95	ver14.0.23107	2016.11.03
52	39	ver0.67	2016.04.11
76	60	ver0.91	2015.02.15
9	51		2014.11.03
40	68	ver8.0.2.805	2016.08.30
26	68	ver5.1.3.1201	2013.12.19
49	55	ver15.4.3502.0922	2011.01.06
13	12	ver15.020.20042	2016.11.05
41	29	ver1.4.20	2016.04.23
61	30	ver2.1.2	2016.08.19
71	39	ver0.67	2016.03.07
31	97	ver2.8.18	2016.07.20
65	87	ver54.0.2840.99	2016.09.08
64	34	ver8.0.1110.14	2016.10.28
34	9	ver5.24	
2	46	ver24.0.0.186	
38	63	ver50.1.0	
30	67	ver12.2.5.195	
8	68	ver7.3.4.311	2016.03.21
20	34	ver7.0.800	2016.04.04
33	64	ver41.0.2353.69	
15	90	ver5.0.229.0	2016.04.24
12	1	ver23.0.0.257	2016.09.20
65	88	ver2.2.4	
47	81	ver2.36	2016.05.22
43	36	ver1.2.4.10	2015.02.03
58	49	ver7.1.7.2606	2016.10.20
33	36	ver1.2.4.10	2015.02.14
16	14	ver2.14.0	2016.05.01
43	88	ver2.2.4	
68	63	ver50.0.2	
24	42	ver2.4.0	2016.11.07
40	12	ver15.020.20042	2016.11.08
24	88	ver2.2.4	
5	46	ver22.0.0.209	
25	88	ver2.2.4	
39	76	ver3.0	
39	91	ver0.6.2	2012.09.02
23	30	ver2.1.0	2015.07.07
28	9	ver5.24	
29	85	ver0.5.4	2013.10.05
14	34	ver8.0.1110.14	2016.10.21
24	81	ver2.36	2016.08.24
49	88	ver2.2.4	
31	22	ver4.5.7.6452	2016.12.12
16	39	ver0.67	2016.05.01
59	19	ver4.42	
21	30	ver2.0.6	2014.11.06
53	103	ver12.0.5	2016.04.03
67	83	ver3.9.141.259	
39	56	ver2.0.0.372	
55	57	ver5.1.6.2	2016.11.07
50	1	ver23.0.0.257	2016.09.15
57	82	ver15.4.3502.0922	2011.07.21
29	64	ver41.0.2353.69	
31	86	ver2.5.8.0	2014.04.22
26	63	ver50.1.0	
16	75	ver5.9.3	2016.12.12
24	1	ver23.0.0.257	2016.09.14
70	34	ver8.0.1120.15	2016.10.31
32	88	ver2.2.4	
24	64	ver42.0.2393.85	
31	57	ver5.2.0.4	2016.08.24
60	42	ver2.4.1	2016.11.23
54	85	ver0.5.10	2014.07.25
38	28	ver7.2.2	
26	53	ver11.0.18	2016.10.13
8	22	ver4.5.7.6452	2016.12.05
58	19	ver4.42	
39	5	ver0.53.00.00	2012.09.02
32	28	ver7.2.2	
71	49	ver7.1.7.2606	2016.11.18
60	57	ver5.2.3.3	2016.11.23
23	75	ver5.9.2	2016.11.12
32	87	ver55.0.2883.75	2016.12.09
28	75	ver5.9.3	2016.12.04
60	85	ver0.7.6	2016.11.24
70	85	ver0.5.7	2014.02.23
54	64	ver41.0.2353.69	
34	57	ver5.2.3.3	2016.11.05
20	9	ver5.24	
46	88	ver2.2.4	
20	30	ver2.1.0	2015.08.10
58	22	ver4.5.7.6452	2016.12.05
22	71	ver0.8.b3	2012.01.05
23	97	ver2.8.18	2016.08.10
1	34	ver8.0.1020.14	2016.10.03
13	22	ver4.5.7.6282	2016.08.30
8	21	ver23.0.0.207	
54	9	ver5.24	
73	22	ver4.5.7.6321	2016.09.08
28	49	ver7.1.7.2606	2016.11.05
16	103	ver12.3.5	2016.08.19
41	30	ver2.1.2	2016.04.23
22	25	ver12.0.6612.1000	2016.11.30
33	63	ver50.0.2	
9	102	ver16.04.00.0	2016.11.08
66	29	ver1.4.20	2016.05.03
14	9	ver5.22	
52	103	ver12.5.0	2016.11.06
34	22	ver4.5.7.6452	2016.12.05
24	67	ver12.2.5.195	
29	103	ver12.3.5	2016.09.10
55	39	ver0.67	2016.04.11
71	68	ver8.0.2.805	2016.08.19
16	49	ver7.1.7.2606	2016.11.03
57	55	ver15.4.3508.1109	
19	76	ver3.0	
38	48	ver1.32.4066.7445	2016.12.15
34	83	ver3.9.141.259	
67	34	ver8.0.1120.15	2016.12.05
71	74	ver4.0.10	2016.08.19
23	28	ver7.2.2	
16	29	ver1.4.20	2016.05.03
32	24	ver23.0.0.207	
17	40	ver6.0.0.1735	2011.08.09
22	63	ver50.1.0	
76	22	ver4.5.7.6452	2016.12.04
11	89	ver3.23.0.2	
62	60	ver0.91	2015.02.15
63	21	ver23.0.0.207	
72	68	ver8.0.2.805	2016.08.26
31	76	ver3.0	
27	68	ver5.1.3.1201	2012.01.18
9	64	ver42.0.2393.85	
22	69	ver16.4.3528.0331	2016.03.21
44	97	ver2.8.18	2016.08.03
60	78	ver3.3.1	2016.11.24
62	48	ver1.32.3592.6117	2016.11.06
73	36	ver1.2.8.12	2016.04.23
2	2	ver5.9	
40	42	ver2.3.2	2016.08.30
69	2	ver4.6	
22	88	ver2.2.4	
59	5	ver0.53.00.00	2015.09.12
32	85	ver0.7.6	2016.11.04
34	68	ver8.1.0.1013	2016.11.05
39	7	ver2.2.1	
3	76	ver3.0	
11	78	ver3.3.1	2016.11.04
23	91	ver0.6.2	2012.11.02
73	64	ver42.0.2393.85	
35	97	ver2.8.18	2016.08.03
47	48	ver1.32.3889.0961	2016.11.22
67	101	ver16.4.29	
22	48	ver1.32.4066.7445	2016.12.14
69	68	ver7.0.3.916	2014.10.15
43	5	ver0.53.00.00	2013.08.26
22	87	ver55.0.2883.87	2016.12.07
34	34	ver8.0.1120.15	2016.10.31
12	86	ver2.5.8.0	2014.08.15
53	96		2016.04.06
20	57	ver5.2.3.3	2016.12.05
41	48	ver1.32.3889.0961	2016.11.22
19	62	ver7.30.105	2016.11.23
11	46	ver24.0.0.186	
60	64	ver41.0.2353.69	
28	103	ver12.3.5	2016.08.19
70	102	ver16.02	
41	51		2014.12.01
53	97	ver2.8.16	2016.04.03
25	67	ver12.2.5.195	
70	1	ver23.0.0.257	2016.09.15
23	88	ver2.2.4	
29	64	ver12.17.1863	
20	7	ver2.2.2	2014.03.18
76	83	ver3.9.141.259	
35	12	ver15.020.20042	2016.11.07
44	86	ver2.5.8.0	2016.11.12
4	67	ver12.2.5.195	
32	9	ver5.24	
33	1	ver24.0.0.180	2016.12.16
62	21	ver23.0.0.205	
33	78	ver3.2.2	
67	89	ver3.23.0.2	
67	12	ver15.020.20042	2016.11.07
59	74	ver4.0.13	2016.12.13
45	63	ver50.1.0	
25	85	ver0.7.6	2016.11.24
70	22	ver4.5.7.6452	2016.12.05
4	12	ver15.020.20042	2016.11.24
48	87	ver55.0.2883.87	2015.09.09
58	46	ver23.0.0.207	
32	48	ver1.32.3889.0961	2016.12.02
43	63	ver50.1.0	
33	87	ver55.0.2883.87	2016.11.14
9	19	ver4.42	
52	1	ver23.0.0.257	2016.09.15
41	57	ver5.2.3.3	2016.11.16
32	34	ver8.0.1120.15	2016.11.03
73	5		
16	60	ver0.91	2016.08.19
15	85	ver0.5.7	2014.02.19
39	12	ver15.020.20042	2016.11.07
43	28	ver7.2.2	
52	63	ver50.0	
69	46	ver24.0.0.186	
13	36	ver1.2.6.7	2015.06.25
32	25	ver12.0.6612.1000	2016.12.05
21	78	ver3.2.2	
23	89	ver3.23.0.2	
74	53	ver10.1.16	2016.08.24
62	90	ver5.0.286.0	2016.11.06
9	88	ver2.2.4	
59	45	ver1.0.189	2015.09.21
73	90	ver5.0.229.0	2016.04.23
20	46	ver24.0.0.186	
31	29	ver1.4.20	2016.06.03
25	97	ver2.8.18	2016.11.23
10	88	ver2.2.4	
66	88	ver2.2.4	
56	46	ver24.0.0.186	
38	24	ver24.0.0.186	
70	64	ver12.16.1860	
66	57	ver5.1.6.2	2016.12.05
5	9	ver3.24	2012.11.06
70	53	ver11.0.18	2016.10.31
62	29	ver1.4.20	2016.11.06
48	70	ver5.1.50901.0	2016.10.19
22	23	ver8.0.250.18	2014.10.27
59	102	ver15.12	
24	87	ver53.0.2785.116	2016.09.19
22	34	ver7.0.670	2014.08.08
61	87	ver54.0.2840.87	2016.11.05
54	35	ver12.0.31101	
33	46	ver24.0.0.186	
67	34	ver7.0.800	2016.04.06
47	67	ver12.2.5.195	
58	39	ver0.67	2016.04.11
33	22	ver4.5.7.6452	2016.12.05
21	34	ver8.0.1120.15	2016.11.05
61	39	ver0.67	2016.04.10
34	64	ver41.0.2353.69	
66	48	ver1.32.3889.0961	2016.11.23
28	34	ver8.0.1120.15	2016.11.05
31	70	ver5.1.50901.0	2016.10.12
13	75	ver5.9.3	2016.12.06
69	21	ver24.0.0.186	
73	57	ver5.2.1.2	2016.09.12
6	46	ver24.0.0.186	
24	28	ver7.2.2	
33	21	ver24.0.0.186	
57	55	ver15.4.3502.0922	2011.07.21
56	89	ver3.23.0.2	
55	102	ver16.02.00.0	2016.09.05
23	34	ver8.0.1110.14	2016.11.12
34	89	ver3.23.0.2	
43	1	ver24.0.0.180	2016.12.14
14	28	ver7.2	
9	9	ver5.24	
21	5	ver0.53.00.00	2013.05.20
43	22	ver4.5.7.6389	2016.11.07
3	88	ver2.2.4	
63	29	ver1.4.20	2016.11.24
36	88	ver2.2.4	
23	30	ver2.1.2	2016.03.22
20	74	ver4.0.6	2015.08.10
21	64	ver12.17.1863	
24	21	ver24.0.0.186	
55	28	ver7.2.1	
47	101	ver15.4.22	
25	96		2016.11.23
24	34	ver8.0.1020.14	2016.09.21
20	85	ver0.5.7	2014.03.18
19	55	ver16.4.3528.0331	2016.09.02
19	21	ver23.0.0.207	
22	21	ver24.0.0.186	
45	22	ver4.5.5.5666	2015.06.25
39	14	ver2.14.0	2013.04.07
29	60	ver0.48.5	
54	30	ver2.1.2	2016.03.29
40	102	ver16.02	
8	46	ver23.0.0.207	
56	19	ver4.42	
36	70	ver5.1.50901.0	2016.10.12
3	44	ver1.0.0	
66	30	ver2.1.2	2016.05.01
71	34	ver8.0.1120.15	2016.11.18
29	38	ver4	2013.10.05
54	46	ver23.0.0.207	
18	70	ver5.1.50709.0	2016.09.23
59	42	ver2.4.1	2016.12.02
12	9	ver5.24	
56	85	ver0.7.6	2016.11.24
58	89	ver3.22.2.2	
24	75	ver5.9.2	2016.09.16
12	14	ver2.14.0	2013.08.25
3	63	ver50.1.0	
63	42	ver2.4.1	2016.11.23
62	64	ver41.0.2353.46	
40	1	ver23.0.0.257	2016.09.18
31	9	ver5.24	
72	2	ver5.7	
54	67	ver12.2.5.195	
8	102	ver16.04.00.0	2016.10.28
54	68	ver8.1.1.1115	2016.11.21
13	86	ver2.5.8.0	2015.06.25
31	5		
45	90	ver5.0.274.0	2016.09.11
42	21	ver24.0.0.186	
22	14	ver2.14.0	2013.04.27
36	55	ver15.4.3502.0922	2011.07.21
47	68	ver8.0.2.805	2016.08.19
28	46	ver23.0.0.207	
53	90	ver5.0.214.0	2016.04.06
16	68	ver8.0.2.805	2016.08.19
11	81	ver2.38	2016.11.03
21	38	ver4	2013.10.05
67	28	ver7.2.2	
47	64	ver41.0.2353.69	
67	81	ver2.36	2016.08.21
5	90	ver5.0.212.0	2016.03.09
61	11	ver4.94	
8	30	ver2.1.2	2016.04.25
9	97	ver2.8.18	2016.08.24
8	34	ver8.0.1120.15	2016.10.28
25	39	ver0.67	2016.11.23
45	28	ver7.2.2	
66	28	ver7.2.2	
22	9	ver5.24	
50	53	ver10.1.16	2016.08.25
29	19	ver4.42	
44	57	ver5.2.3.3	2016.11.12
38	30	ver2.1.2	2016.11.23
61	97	ver2.8.18	2016.08.19
28	5		
13	97	ver2.8.18	2016.08.30
37	84	ver10.7.144.0	2014.10.16
33	102	ver16.04.00.0	2016.12.05
9	1	ver24.0.0.180	2016.12.14
23	87	ver55.0.2883.75	2016.12.09
4	24	ver24.0.0.186	
21	1	ver23.0.0.257	2016.09.15
18	62	ver5.8.158	2012.03.22
71	1	ver24.0.0.180	2016.12.14
41	68	ver8.0.2.805	2016.08.20
71	81	ver2.36	2016.08.19
47	90	ver5.0.229.0	2016.04.24
62	65	ver4.9.9.2	
12	90	ver5.0.268.0	2016.08.20
53	102	ver15.14	
3	27	ver6.7.0	2011.08.09
60	28	ver7.2.1	
54	80	ver2.0.2	2012.09.02
14	39	ver0.67	2016.04.08
53	87	ver49.0.2623.112	2016.04.03
52	12	ver15.020.20042	2016.11.06
51	34	ver8.0.1110.14	2016.10.20
25	60	ver0.91	2016.11.23
9	34	ver8.0.1120.15	2016.11.08
23	81	ver2.36	2016.08.24
71	60	ver0.91	2016.08.19
12	94		
28	83	ver3.9.141.259	
47	22	ver4.5.7.6282	2016.08.19
44	12	ver15.020.20042	2016.11.07
62	76	ver3.0	
52	28	ver7.2.1	
12	75	ver5.9.3	2016.12.05
16	74	ver4.0.11	2016.09.11
28	89	ver3.22.2.2	
16	34	ver8.0.1120.15	2016.11.03
48	28	ver7	
14	14	ver2.14.0	2013.05.16
38	96		2016.11.23
21	19	ver4.42	
53	36	ver1.2.8.12	2016.04.03
44	81	ver2.39	2016.11.12
15	9	ver5.23	
54	102	ver16.04	
40	83	ver3.9.141.259	
48	64	ver41.0.2353.69	
71	46	ver24.0.0.186	
69	56	ver2.0.0.372	
74	72	ver2.0.103.0	2014.03.04
52	36	ver1.2.6.7	2015.06.25
63	64	ver41.0.2353.69	
76	7	ver2.2.2	2013.05.16
32	96		2016.11.04
34	1	ver23.0.0.257	2016.09.14
63	68	ver8.1.1.1115	2016.11.23
76	89	ver3.22.2.2	
21	22	ver4.5.7.6389	2016.11.05
51	40	ver6.0.0.1735	2011.08.09
9	102	ver9.20	
76	9	ver5.24	
12	91	ver0.6.2	2012.11.02
66	34	ver8.0.1120.15	2016.12.05
15	96		2014.02.07
23	102	ver16.02	
71	22	ver4.5.7.6452	2016.12.06
62	28	ver7.2	
58	67	ver12.2.5.195	
13	90	ver5.0.274.0	2016.09.11
12	80	ver2.0.2	2012.11.02
76	36	ver1.2.4.10	2015.02.15
16	67	ver12.2.5.195	
4	88	ver2.2.4	
60	1	ver23.0.0.257	2016.11.23
11	96		2016.11.04
28	29	ver1.4.20	2016.04.24
24	22	ver4.5.4.5306	2015.02.04
14	57	ver5.2.3.3	2016.11.06
62	74	ver4.0.12	2016.11.06
19	69	ver16.4.3528.0331	2016.09.02
67	57	ver5.2.3.3	2016.12.05
13	74	ver4.0.10	2016.08.30
61	49	ver7.1.7.2606	2016.11.05
16	89	ver3.23.0.2	
32	42	ver2.4.1	2016.12.05
59	102	ver16.04.00.0	2016.10.11
14	68	ver8.1.0.1013	2016.11.06
43	103	ver12.5.5	2016.11.12
22	103	ver12.3.5	2016.08.19
20	84	ver11.1.1209.0	2014.09.09
20	29	ver1.4.20	2016.04.25
48	34	ver8.0.1020.14	2016.09.24
54	103	ver12.5.0	2016.11.05
4	9	ver5.25	
71	64	ver42.0.2393.85	
63	96		2016.11.23
56	42	ver2.4.1	2016.11.23
28	102	ver16.02	
58	81	ver2.36	2016.09.02
21	30	ver2.1.2	2016.03.21
24	70	ver5.1.41212.0	2016.01.13
8	28	ver7.2.2	
31	78	ver3.1.2	
13	102	ver16.02	
9	39	ver0.67	2016.04.08
29	63	ver50.0	
44	42	ver2.4.1	2016.12.02
51	19	ver4.38	
27	2	ver4.6	
24	102	ver16.03.00.0	2016.09.30
55	70	ver5.1.50901.0	2016.10.12
66	68	ver7.3.4.311	2016.05.01
29	46	ver23.0.0.207	
58	9	ver5.24	
9	49	ver7.1.7.2606	2016.11.08
55	12	ver15.020.20042	2016.11.08
16	51		2016.05.03
62	87	ver54.0.2840.87	2016.11.06
69	72	ver2.0.103.0	2014.03.04
52	75	ver5.9.2	2016.09.19
11	70	ver5.1.50901.0	2016.11.04
29	96		2013.05.25
58	103	ver12.3.5	2016.09.02
68	53	ver10.1.16	2016.09.06
52	88	ver2.2.4	
32	20	ver2.78.1	2016.11.03
47	29	ver1.4.20	2016.04.24
4	30	ver2.1.2	2016.11.23
50	90	ver5.0.212.0	2016.03.10
55	46	ver23.0.0.207	
62	85	ver0.5.4	2013.05.16
47	14	ver2.14.0	2015.02.05
8	89	ver3.23.0.2	
12	96		2014.08.18
59	34	ver8.0.1120.15	2016.11.07
44	102	ver16.04.00.0	2016.11.07
14	65	ver4.9.9.2	
1	84	ver10.7.144.0	2015.02.26
41	63	ver50.0.2	
61	48	ver1.32.3592.6117	2016.11.05
15	36	ver1.2.8.12	2016.04.24
73	63	ver50.1.0	
41	42	ver2.4.1	2016.12.05
17	34	ver6.0.450	2016.09.07
16	7	ver3.0.20.0	2016.05.03
33	97	ver2.8.18	2016.08.21
16	64	ver42.0.2393.85	
22	86	ver2.5.8.0	2014.03.18
11	9	ver5.24	
59	9	ver5.24	
61	44	ver1.0.0	
24	90	ver5.0.286.0	2016.11.12
67	49	ver7.1.7.2606	2016.11.23
40	23	ver8.0.250.18	2014.12.04
28	96		2014.09.06
68	46	ver24.0.0.186	
11	42	ver2.4.1	2016.12.01
66	103	ver12.1.0	2016.05.01
65	28	ver6.9.2	
73	87	ver55.0.2883.87	2016.12.14
16	46	ver24.0.0.186	
28	38	ver4	2014.02.12
66	51		2016.05.03
33	96		2014.08.31
60	88	ver2.2.4	
66	102	ver16.02.00.0	2016.09.14
67	5		
67	102	ver16.02	
58	102	ver16.02	
76	19	ver4.42	
45	19	ver4.42	
73	29	ver1.4.20	2016.04.23
45	103	ver12.3.5	2016.09.11
33	60	ver0.91	2015.02.14
56	64	ver42.0.2393.85	
76	74	ver4.0.9	2016.04.25
58	87	ver66.198.99	2016.11.11
3	40	ver6.0.0.1735	2011.08.09
55	102	ver15.14	
54	96		2015.08.25
15	21	ver24.0.0.186	
74	9	ver5.24	
20	86	ver2.5.8.0	2014.03.18
31	90	ver4.2.56.0	2013.08.27
21	48	ver1.32.3592.6117	2016.11.05
19	34	ver8.0.1120.15	2016.10.28
9	68	ver7.3.4.311	2016.04.08
52	19	ver4.42	
47	96		2014.02.07
34	67	ver12.2.5.195	
21	92	ver2.64.1073	
32	81	ver2.38	2016.11.03
70	102	ver16.04.00.0	2016.10.31
4	78	ver3.3.1	2016.11.24
25	24	ver23.0.0.207	
50	90	ver4.0.15.0	2016.03.10
22	67	ver12.2.5.195	
4	96		2016.11.23
75	84	ver11.0.583.0	2012.09.18
16	102	ver16.02	
12	5		
20	68	ver8.0.2.805	2016.08.19
63	30	ver2.1.2	2016.11.23
38	103	ver12.6.0	2016.11.23
27	46	ver23.0.0.205	
28	57	ver5.2.3.3	2016.11.22
63	9	ver5.24	
54	7	ver3.0.20.0	2016.03.25
45	102	ver16.02	
15	42	ver2.4.0	2016.11.05
21	75	ver5.9.2	2016.09.15
11	22	ver4.5.7.6452	2016.12.01
13	30	ver2.1.2	2016.04.10
44	14	ver2.14.0	2015.06.24
23	60	ver0.91	2015.02.04
62	5	ver0.53.00.00	2013.05.16
28	42	ver2.4.1	2016.12.04
28	44	ver1.0.0	
70	64	ver41.0.2353.69	
23	42	ver2.3.2	2016.08.24
76	81	ver2.35	2016.04.25
40	75	ver5.9.2	2016.09.18
10	102	ver16.04	
70	63	ver50.0.2	
21	9	ver5.23	
31	42	ver2.4.1	2016.12.12
66	39	ver0.67	2016.05.01
47	97	ver2.8.18	2016.08.19
40	36	ver1.2.8.12	2016.05.03
38	57	ver5.2.3.3	2016.11.23
16	19	ver4.42	
71	9	ver5.24	
67	67	ver12.2.5.195	
38	21	ver24.0.0.186	
65	81	ver2.36	2016.09.08
54	73		
21	97	ver2.8.18	2016.08.30
24	30	ver2.0.6	2015.02.04
24	48	ver1.31.2873.2758	2016.08.24
73	48	ver1.32.3889.0961	2016.11.29
52	48	ver1.32.3889.0961	2016.11.24
67	1	ver24.0.0.180	2016.12.14
33	92	ver2.64.1073	
28	36	ver1.2.8.12	2016.03.31
47	19	ver4.42	
51	46	ver24.0.0.186	
29	89	ver3.22.2.2	
71	90	ver5.0.268.0	2016.08.19
9	28	ver7.2.2	
58	30	ver2.1.2	2016.04.11
56	63	ver50.1.0	
29	7	ver2.2.2	2013.05.20
60	75	ver5.9.2	2016.11.23
68	57	ver5.1.5.2	2016.09.23
66	64	ver41.0.2353.69	
67	97	ver2.8.18	2016.08.21
14	86	ver2.5.8.0	2014.10.14
62	96		2014.11.19
52	83	ver3.9.141.259	
33	9	ver5.24	
47	103	ver12.3.5	2016.08.19
39	22	ver4.5.7.6452	2016.12.13
46	2	ver5.1	
41	19	ver4.42	
62	23	ver8.0.310.13	2015.02.15
53	9	ver5.12	
40	60	ver0.91	2016.08.30
33	76	ver3.0	
35	36	ver1.2.8.12	2016.04.03
11	68	ver8.1.0.1013	2016.11.03
3	69	ver16.4.3528.0331	2016.12.06
23	96		2015.02.04
65	34	ver8.0.1020.14	2016.09.08
23	85	ver0.5.7	2013.12.13
42	46	ver24.0.0.186	
62	86	ver2.5.8.0	2014.11.19
34	76	ver3.0	
29	49	ver7.1.7.2606	2016.11.21
8	34	ver7.0.800	2016.05.25
33	39	ver0.67	2016.04.14
25	74	ver4.0.12	2016.11.23
33	44	ver1.0.0	
35	34	ver8.0.1120.15	2016.11.07
9	84	ver11.1.1209.0	2014.10.28
45	34	ver8.0.1120.15	2016.11.07
9	75	ver5.9.3	2016.12.05
39	34	ver8.0.1120.15	2016.10.28
40	67	ver12.2.4.194	
66	89	ver3.23.0.2	
17	53	ver9.5.5	2016.09.12
32	19	ver4.42	
52	23	ver8.0.450.14	2015.06.25
33	90	ver5.0.271.0	2016.08.30
40	97	ver2.8.18	2016.08.30
15	60	ver0.91	2015.02.05
27	63	ver50.0.2	
56	12	ver15.020.20042	2016.11.24
48	46	ver24.0.0.186	
6	12	ver15.020.20042	2016.11.07
60	89	ver3.22.2.2	
43	30	ver2.0.6	2015.02.03
15	88	ver2.2.4	
44	30	ver2.1.2	2016.03.21
28	22	ver4.5.7.6452	2016.12.04
50	46	ver24.0.0.186	
69	9	ver5.24	
70	90	ver5.0.286.0	2016.11.05
25	57	ver5.2.3.3	2016.11.23
39	88	ver2.2.4	
44	9	ver5.24	
54	34	ver8.0.1120.15	2016.12.12
14	7	ver2.2.2	2013.05.16
11	67	ver12.2.5.195	
27	62	ver6.11.102	2014.03.05
54	57	ver5.2.3.3	2016.11.05
20	39	ver0.67	2016.08.19
55	86	ver2.5.8.0	2014.02.07
16	63	ver50.1.0	
26	2	ver4.9	
49	2	ver4.8	
2	63	ver50.1.0	
65	89	ver3.21.0	
32	57	ver5.2.2.2	2016.11.03
24	86	ver2.5.8.0	2014.09.16
4	89	ver3.23.0.2	
31	103	ver12.3.5	2016.08.24
74	88	ver2.2.4	
40	86	ver2.5.8.0	2014.02.07
