id	huzasid	talalat	darab	ertek
1036	420	5	42	157042
1037	1054	4	2892	6710
1038	329	4	2729	1985
1039	911	4	3361	4820
1040	1002	5	62	222175
1041	436	5	35	227641
1042	796	3	59157	917
1043	853	3	78248	1395
1044	1068	5	59	252750
1045	318	4	3967	1415
1046	434	7	1	6852108
1047	860	5	80	216255
1048	587	5	79	151124
1049	1001	3	38610	1280
1050	446	7	1	28171411
1051	384	3	55982	603
1052	481	3	46223	557
1053	821	4	2147	6450
1055	634	3	44440	815
1057	339	3	38610	616
1058	572	4	6028	2718
1059	554	5	32	419099
1060	908	4	3459	4130
1061	465	5	25	317062
1062	587	4	4148	2878
1063	469	5	151	52470
1064	398	4	2318	2950
1065	616	7	1	11766152
1066	696	4	2875	4178
1068	867	3	76208	910
1069	1053	4	2389	7525
1070	613	3	42827	966
1072	697	4	2992	4152
1073	611	6	1	266805025
1074	457	3	44824	521
1075	707	6	3	13578508
1076	887	6	1	265397360
1077	671	7	5	2342641
1078	755	5	34	381190
1079	1073	3	45129	1130
1080	851	4	5511	4985
1081	638	3	52892	693
1082	316	4	9054	819
1083	859	5	113	161390
1084	980	4	4099	4095
1085	363	3	60166	502
1086	782	7	5	6057760
1087	959	5	39	328830
1088	452	3	53822	531
1089	366	7	4	1838291
1090	502	4	1772	5743
1091	375	4	2453	3185
1092	877	4	3808	4515
1093	562	5	38	266061
1094	950	5	38	361005
1095	1109	6	1	1267435670
1096	394	4	2805	2615
1097	852	4	4503	6880
1098	946	4	2461	6410
1099	766	5	49	348279
1100	693	6	1	49576514
1101	539	6	1	329151907
1102	1000	3	32203	1485
1103	498	3	38097	854
1104	1055	3	43333	1215
1105	748	4	2798	4468
1106	1041	3	65497	1255
1107	1088	4	4114	4835
1108	546	7	1	10269628
1109	773	5	64	345010
1110	530	3	43002	757
1111	855	6	1	2109980990
1112	670	5	145	90682
1113	613	5	22	537274
1114	939	5	58	221005
1115	671	3	28749	1426
1116	348	7	3	2441611
1117	1072	3	50174	1130
1118	766	3	50191	1190
1119	944	5	30	503725
1120	937	4	3450	4030
1121	767	4	2667	7352
1122	694	5	33	333098
1123	723	4	3278	4361
1124	457	5	30	222334
1125	730	7	2	6968858
1126	709	3	34298	1172
1127	994	5	37	408635
1128	759	3	34390	1390
1129	432	5	65	95876
1130	589	4	1845	6273
1131	690	5	11	1080502
1132	309	3	72927	296
1133	337	3	51948	448
1134	987	5	91	153735
1135	571	4	4078	3577
1136	763	7	4	3721664
1137	486	4	1878	3750
1139	1128	3	49346	1220
1140	344	3	66537	455
1141	296	3	59308	298
1142	751	3	31823	1486
1143	827	3	45540	1065
1144	992	3	36528	1385
1145	468	7	1	8272630
1146	1127	3	37603	1500
1147	980	5	104	161435
1148	652	6	1	151665885
1149	471	3	53291	531
1150	344	7	3	5441859
1151	1056	4	2337	6400
1152	492	5	21	347220
1153	616	3	61166	673
1154	775	4	4563	4945
1156	326	5	36	163402
1157	1118	4	1963	8560
1158	444	5	42	161286
1159	1038	5	34	501765
1160	619	6	1	40336663
1161	815	5	72	220230
1162	703	4	2301	5179
1163	785	7	2	8045002
1164	683	5	25	546988
1165	660	3	45327	857
1166	395	7	3	2270880
1167	610	4	2657	5425
1168	972	4	1962	6700
1169	784	3	67834	909
1170	776	4	4723	4412
1171	522	3	38651	836
1172	1095	5	67	216240
1173	804	3	64519	757
1174	1089	5	72	277410
1175	628	4	3703	3650
1176	437	7	3	2618404
1177	953	4	1745	8005
1178	1104	5	48	363830
1179	667	3	39658	1018
1180	326	3	39916	516
1181	991	6	1	267982340
1182	612	5	138	85003
1183	1029	6	1	442500105
1184	819	5	129	142880
1185	603	4	2109	6719
1186	938	4	1483	9380
1187	629	4	2610	4777
1188	918	4	3442	3880
1189	873	5	58	285945
1190	895	5	44	307850
1191	743	3	44090	953
1192	618	6	1	167081103
1193	317	4	2419	2580
1194	529	3	89606	507
1195	1039	5	40	461430
1196	789	3	51358	1031
1197	1009	5	44	381960
1198	733	5	75	174799
1199	963	3	26729	1725
1200	681	3	36767	1248
1201	890	4	2484	5715
1202	688	3	25450	1668
1203	650	3	47200	822
1204	372	3	46632	544
1205	314	4	4553	1528
1206	803	3	34312	1406
1207	384	4	3310	2914
1208	1014	5	50	302250
1209	666	5	51	221275
1210	463	4	1865	4100
1211	819	3	59687	1080
1212	905	4	3000	4745
1213	309	7	6	2074081
1214	460	7	4	1715501
1215	672	4	2979	4202
1216	637	5	28	388173
1217	438	3	64461	394
1218	1097	4	2128	7405
1219	934	4	1897	7580
1220	989	5	72	205710
1221	614	5	79	154932
1222	308	5	64	97923
1223	797	4	3523	4794
1224	1024	3	36918	1445
1225	975	4	1487	11160
1226	446	5	26	286480
1227	467	5	20	511704
1228	462	5	61	131412
1229	694	3	26585	1447
1231	717	4	7262	2290
1232	790	4	4259	3600
1233	702	4	1206	9974
1234	602	4	4646	3095
1235	417	3	34182	625
1236	612	3	51014	805
1237	715	5	54	332093
1238	702	5	20	601427
1239	558	5	61	239848
1240	1008	4	3174	5110
1241	830	3	43721	1095
1242	1022	3	59582	1060
1243	425	7	2	3007295
1244	1106	3	43710	1600
1245	604	3	61101	834
1246	958	4	3580	4360
1247	889	4	1913	7580
1248	474	3	46394	558
1249	1110	6	1	74194460
1250	1084	4	3179	5670
1251	527	5	48	262012
1252	481	6	1	55757995
1253	390	5	23	282704
1254	787	7	1	15329866
1255	494	3	39271	679
1256	605	4	2747	5041
1257	531	4	2017	4553
1258	875	5	26	647775
1259	1006	5	76	221660
1260	1011	4	2044	8650
1261	530	7	3	3098963
1262	739	3	44907	1022
1263	371	7	2	10593787
1264	379	7	3	7598234
1265	441	5	42	196571
1266	1028	5	74	230360
1267	1082	4	2559	6435
1268	360	7	11	699114
1269	512	5	44	233668
1270	314	7	8	869592
1271	959	3	47485	945
1272	549	7	3	4409274
1273	698	7	2	5858436
1274	386	5	66	153520
1275	1121	3	42824	1310
1276	858	4	3192	5845
1277	331	7	1	17134107
1278	511	7	1	10010459
1279	935	5	32	442470
1280	665	6	1	329902618
1281	592	3	57326	715
1282	807	5	47	312593
1283	355	7	4	2022782
1284	697	3	45863	948
1285	767	5	42	466866
1286	675	4	1760	6916
1287	832	4	2324	6920
1288	382	6	1	29000075
1289	681	5	26	504416
1290	883	6	1	130756610
1291	856	4	5241	3225
1292	861	5	73	211550
1293	831	4	2558	6015
1294	365	3	49185	480
1296	769	3	64365	1043
1297	866	4	3041	6135
1298	1117	4	1721	9485
1299	969	4	1909	6520
1300	311	5	28	229308
1301	744	5	28	440405
1302	936	3	39533	1360
1303	538	4	2479	3766
1304	638	5	130	80547
1305	365	7	10	677587
1306	374	3	37330	698
1307	876	3	69523	1020
1309	558	3	58736	872
1310	676	4	2722	4511
1311	954	4	1692	9010
1312	319	3	54640	359
1313	505	3	61122	641
1314	824	4	3188	4535
1315	1117	3	34447	1660
1316	1100	4	4025	4070
1317	972	3	36633	1255
1318	588	5	86	144126
1319	318	3	57823	340
1320	725	7	1	13410615
1321	558	4	3061	4780
1322	437	3	49637	554
1323	336	4	2947	2205
1324	1071	4	4121	3820
1325	438	7	2	3630525
1326	314	5	108	64414
1327	758	3	53380	907
1328	933	5	69	210070
1329	1067	5	58	290230
1330	342	4	3369	2237
1331	751	4	1541	8769
1332	742	4	5029	3184
1333	923	3	53954	930
1334	381	7	6	1342796
1335	892	5	54	271125
1336	507	6	1	564738043
1337	649	3	41721	937
1338	314	3	73837	330
1339	315	4	3739	1864
1340	968	3	46668	1130
1341	483	4	2044	3440
1342	534	4	1894	5029
1343	327	7	3	2007903
1344	924	4	2318	5420
1345	347	7	4	1558889
1346	1129	4	2645	5960
1347	1077	5	31	542445
1348	966	5	105	136655
1349	621	5	61	181231
1350	685	4	3007	4883
1351	486	5	58	121423
1352	616	5	128	91923
1353	992	5	51	283065
1354	819	4	4177	4415
1355	576	7	6	1948616
1356	1106	5	55	363365
1357	762	3	65124	892
1358	299	4	2379	2583
1359	454	5	13	523451
1360	1093	6	1	291560205
1361	683	3	50152	954
1362	309	5	115	53717
1364	513	4	1991	5263
1365	315	3	60250	405
1366	1124	3	46192	1335
1367	594	7	3	8202094
1368	931	3	36532	1615
1369	600	7	2	7292589
1370	731	7	3	4679489
1371	680	4	3716	3588
1372	428	3	44371	513
1373	697	7	2	18016986
1374	906	5	163	90650
1375	1057	3	34161	1560
1376	358	7	2	4008017
1377	667	5	23	501407
1379	1031	4	1947	7565
1380	493	3	30609	868
1381	793	5	27	558405
1382	348	5	139	52697
1383	332	5	42	135557
1384	1051	3	45505	1380
1385	402	5	52	135416
1386	578	5	37	292311
1387	524	5	53	183948
1388	480	5	63	136108
1389	1118	5	34	494275
1390	908	3	50101	1000
1391	996	4	3317	4450
1392	341	4	4116	2014
1393	659	3	41596	928
1394	1024	4	1989	7675
1395	1095	4	2686	5395
1396	676	3	50444	852
1397	342	5	61	123582
1398	899	6	1	246176915
1399	1017	5	78	201145
1400	365	6	1	23715539
1401	702	3	27844	1512
1402	470	7	2	3973346
1403	897	5	28	503820
1404	570	5	56	249408
1405	724	5	20	685941
1406	1005	5	45	333460
1407	332	7	1	5693412
1408	822	4	2136	6495
1409	868	3	70272	1000
1410	635	5	30	350384
1411	958	3	48424	1130
1412	535	5	53	178823
1413	387	5	73	112779
1414	346	7	2	3531818
1415	439	5	38	191924
1417	1064	3	35478	1800
1418	351	5	35	200852
1419	774	4	4408	5044
1420	813	4	2326	6380
1421	881	6	1	66255020
1422	689	4	2015	5953
1423	953	3	33587	1455
1424	408	7	1	6704934
1425	645	5	131	85966
1426	474	5	51	144987
1427	337	4	3041	2187
1428	663	7	1	25116178
1429	1078	3	43344	1235
1430	650	5	43	257737
1431	903	5	26	535410
1432	633	6	1	159176386
1433	866	5	54	345550
1434	515	3	44159	843
1435	803	4	1741	7918
1436	727	7	5	2659623
1437	1046	6	1	1491506710
1438	1058	4	2658	6645
1439	824	3	46495	1090
1440	1054	5	44	441160
1441	931	4	2053	8215
1442	484	3	24058	1069
1443	359	7	1	7385527
1444	554	3	52377	896
1445	813	3	42604	1220
1446	423	3	45350	540
1447	508	5	73	133940
1448	911	3	53821	1055
1449	439	3	39996	638
1450	785	4	2857	5632
1451	329	5	51	106234
1452	541	3	41415	823
